"","Package","LibPath","Version","Priority","Built"
"220","splines","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"221","stats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"222","stats4","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"223","stringi","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.6",NA,"3.4.2"
"224","stringr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.0"
"225","survival","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.41-3","recommended","3.4.2"
"226","tcltk","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"227","tibble","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.1",NA,"3.4.2"
"228","tidyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.2",NA,"3.4.2"
"229","tidyselect","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.3",NA,"3.4.2"
"230","tidyverse","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.1",NA,"3.4.2"
"231","tools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"232","utf8","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.3",NA,"3.4.3"
"233","utils","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"234","viridis","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.1",NA,"3.4.3"
"235","viridisLite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"236","xml2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.0"
"237","xtable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-2",NA,"3.4.0"
"238","yaml","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.16",NA,"3.4.3"
